#psi, P, q
2.070312499999999722e-01 1.784150118999999904e+04 1.161439816999999985e+00
2.089843750000000000e-01 1.781609471000000121e+04 1.163000564000000070e+00
2.109375000000000278e-01 1.779059807000000001e+04 1.164568467999999912e+00
2.128906250000000000e-01 1.776500886000000173e+04 1.166143643000000063e+00
2.148437500000000000e-01 1.773932449999999881e+04 1.167726207999999932e+00
2.167968750000000000e-01 1.771354257000000143e+04 1.169316272999999962e+00
2.187500000000000000e-01 1.768766159999999945e+04 1.170913931000000074e+00
2.207031249999999722e-01 1.766168025000000125e+04 1.172519268999999920e+00
2.226562500000000000e-01 1.763559608999999909e+04 1.174132379000000004e+00
2.246093750000000278e-01 1.760940629999999874e+04 1.175753357000000054e+00
2.265625000000000000e-01 1.758310928000000058e+04 1.177382316000000095e+00
2.285156250000000000e-01 1.755670443000000159e+04 1.179019384999999920e+00
2.304687500000000000e-01 1.753019025999999940e+04 1.180664702999999927e+00
2.324218750000000000e-01 1.750356412999999884e+04 1.182318422999999896e+00
2.343749999999999722e-01 1.747682388999999966e+04 1.183980690000000058e+00
2.363281250000000000e-01 1.744996889000000010e+04 1.185651628000000013e+00
2.382812500000000278e-01 1.742299846999999863e+04 1.187331353000000034e+00
2.402343750000000000e-01 1.739591071000000011e+04 1.189019977000000061e+00
2.421875000000000000e-01 1.736870334000000003e+04 1.190717604999999901e+00
2.441406250000000000e-01 1.734137508000000162e+04 1.192424337000000056e+00
2.460937500000000000e-01 1.731392537000000084e+04 1.194140266000000006e+00
2.480468749999999722e-01 1.728635331999999835e+04 1.195865485999999978e+00
2.500000000000000000e-01 1.725865748000000167e+04 1.197600094000000004e+00
2.519531250000000000e-01 1.723083636000000115e+04 1.199344191000000004e+00
2.539062500000000000e-01 1.720288827999999921e+04 1.201097901000000023e+00
2.558593750000000000e-01 1.717481163999999990e+04 1.202861353000000078e+00
2.578125000000000000e-01 1.714660573999999906e+04 1.204634683000000095e+00
2.597656250000000000e-01 1.711827044999999998e+04 1.206418025999999921e+00
2.617187500000000000e-01 1.708980504999999903e+04 1.208211512999999959e+00
2.636718750000000000e-01 1.706120775000000140e+04 1.210015260999999898e+00
2.656250000000000000e-01 1.703247695999999996e+04 1.211829386000000008e+00
2.675781250000000000e-01 1.700361219999999958e+04 1.213653998999999928e+00
2.695312500000000000e-01 1.697461333999999988e+04 1.215489210999999958e+00
2.714843750000000000e-01 1.694547970999999961e+04 1.217335132999999958e+00
2.734375000000000000e-01 1.691621013999999923e+04 1.219191872999999982e+00
2.753906250000000000e-01 1.688680348999999842e+04 1.221059542999999969e+00
2.773437500000000000e-01 1.685725869999999850e+04 1.222938255000000085e+00
2.792968750000000000e-01 1.682757476999999926e+04 1.224828124000000074e+00
2.812500000000000000e-01 1.679775125000000116e+04 1.226729265999999985e+00
2.832031250000000000e-01 1.676778802999999971e+04 1.228641800999999978e+00
2.851562500000000000e-01 1.673768470000000161e+04 1.230565855000000042e+00
2.871093750000000000e-01 1.670744017000000167e+04 1.232501566999999909e+00
2.890625000000000000e-01 1.667705331999999908e+04 1.234449074999999896e+00
2.910156250000000000e-01 1.664652355000000171e+04 1.236408506999999934e+00
2.929687500000000000e-01 1.661585060000000158e+04 1.238379981000000019e+00
2.949218750000000000e-01 1.658503413000000000e+04 1.240363617000000085e+00
2.968750000000000000e-01 1.655407365999999820e+04 1.242359538000000097e+00
2.988281250000000000e-01 1.652296865999999864e+04 1.244367867000000016e+00
3.007812500000000000e-01 1.649171840000000157e+04 1.246388731999999999e+00
3.027343750000000000e-01 1.646032201999999961e+04 1.248422265999999947e+00
3.046875000000000000e-01 1.642877888000000166e+04 1.250468595000000072e+00
3.066406250000000000e-01 1.639708886999999959e+04 1.252527839000000087e+00
3.085937500000000000e-01 1.636525199000000066e+04 1.254600111000000018e+00
3.105468750000000000e-01 1.633326792000000023e+04 1.256685540999999962e+00
3.125000000000000000e-01 1.630113608999999997e+04 1.258784265999999930e+00
3.144531250000000000e-01 1.626885591999999997e+04 1.260896425000000098e+00
3.164062500000000000e-01 1.623642684000000008e+04 1.263022161999999948e+00
3.183593750000000000e-01 1.620384824999999910e+04 1.265161623000000013e+00
3.203125000000000000e-01 1.617111982999999964e+04 1.267314945999999942e+00
3.222656250000000000e-01 1.613824158999999963e+04 1.269482261999999917e+00
3.242187500000000000e-01 1.610521354000000065e+04 1.271663698000000009e+00
3.261718750000000000e-01 1.607203538999999910e+04 1.273859391000000008e+00
3.281250000000000000e-01 1.603870666999999958e+04 1.276069480000000089e+00
3.300781250000000000e-01 1.600522693000000072e+04 1.278294103999999987e+00
3.320312500000000000e-01 1.597159577999999965e+04 1.280533404999999902e+00
3.339843750000000000e-01 1.593781285000000025e+04 1.282787525000000040e+00
