#psi, P, q
6.484375000000000000e-01 5.472721658000000389e+03 2.547314630999999885e+00
6.503906250000000000e-01 5.441158346000000165e+03 2.558643594999999937e+00
6.523437500000000000e-01 5.409602289000000383e+03 2.570095770000000002e+00
6.542968750000000000e-01 5.378054293000000143e+03 2.581672937000000001e+00
6.562500000000000000e-01 5.346515228000000207e+03 2.593376865999999836e+00
6.582031250000000000e-01 5.314986466000000291e+03 2.605209322999999966e+00
6.601562500000000000e-01 5.283469570000000203e+03 2.617172066999999824e+00
6.621093750000000000e-01 5.251966094999999768e+03 2.629266841000000188e+00
6.640625000000000000e-01 5.220477571999999782e+03 2.641495450999999939e+00
6.660156250000000000e-01 5.189005500000000211e+03 2.653859965000000098e+00
6.679687500000000000e-01 5.157551355999999942e+03 2.666362490000000030e+00
6.699218750000000000e-01 5.126116608999999698e+03 2.679005113000000105e+00
6.718750000000000000e-01 5.094702795999999580e+03 2.691789985000000218e+00
6.738281250000000000e-01 5.063311599999999999e+03 2.704719385999999837e+00
6.757812500000000000e-01 5.031944704999999885e+03 2.717795595000000120e+00
6.777343750000000000e-01 5.000603785999999673e+03 2.731020876000000097e+00
6.796875000000000000e-01 4.969290594000000056e+03 2.744397646999999996e+00
6.816406250000000000e-01 4.938006970999999794e+03 2.757928515000000136e+00
6.835937500000000000e-01 4.906754750000000058e+03 2.771616074000000207e+00
6.855468750000000000e-01 4.875535757999999987e+03 2.785462905999999794e+00
6.875000000000000000e-01 4.844351950000000215e+03 2.799471752000000091e+00
6.894531250000000000e-01 4.813205372999999781e+03 2.813645465000000012e+00
6.914062500000000000e-01 4.782098060999999689e+03 2.827986876999999843e+00
6.933593750000000000e-01 4.751032049000000370e+03 2.842498818000000149e+00
6.953125000000000000e-01 4.720009535999999571e+03 2.857184300000000121e+00
6.972656250000000000e-01 4.689032796000000417e+03 2.872046419000000128e+00
6.992187500000000000e-01 4.658104086000000279e+03 2.887088241999999916e+00
7.011718750000000000e-01 4.627225679000000127e+03 2.902312838999999922e+00
7.031250000000000000e-01 4.596400048999999854e+03 2.917723398000000135e+00
7.050781250000000000e-01 4.565629734000000099e+03 2.933323141999999883e+00
7.070312500000000000e-01 4.534917250999999851e+03 2.949115261999999849e+00
7.089843750000000000e-01 4.504265151999999944e+03 2.965102987999999939e+00
7.109375000000000000e-01 4.473676223000000391e+03 2.981289816999999953e+00
7.128906250000000000e-01 4.443153304999999818e+03 2.997679297999999992e+00
7.148437500000000000e-01 4.412699212999999872e+03 3.014274954999999867e+00
7.167968750000000000e-01 4.382316820000000007e+03 3.031080368000000025e+00
7.187500000000000000e-01 4.352009267000000364e+03 3.048099425000000195e+00
7.207031250000000000e-01 4.321779741000000286e+03 3.065336058999999835e+00
7.226562500000000000e-01 4.291631400000000212e+03 3.082794170000000111e+00
7.246093750000000000e-01 4.261567482999999811e+03 3.100477705999999944e+00
7.265625000000000000e-01 4.231591535999999905e+03 3.118390841000000080e+00
7.285156250000000000e-01 4.201707140000000436e+03 3.136537763999999839e+00
7.304687500000000000e-01 4.171917848000000049e+03 3.154922630000000172e+00
7.324218750000000000e-01 4.142227316000000428e+03 3.173549691999999922e+00
7.343750000000000000e-01 4.112639543999999660e+03 3.192423548999999916e+00
7.363281250000000000e-01 4.083158570000000054e+03 3.211548829999999910e+00
7.382812500000000000e-01 4.053788395999999921e+03 3.230930123999999903e+00
7.402343750000000000e-01 4.024533148999999867e+03 3.250572143999999941e+00
7.421875000000000000e-01 3.995397348999999849e+03 3.270480002000000219e+00
7.441406250000000000e-01 3.966385549999999967e+03 3.290658845999999915e+00
